Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
hsqldb,org.hsqldb.persist.DoubleIntArrayCachedObject,DoubleIntArrayCachedObject,Public Class,31,2,6,0,1,8,1,36,0,1,68,9,0.13,4,4,21,25,0,0,38,40,11,1,113,4,2,2,11,9,0,0,0,11,42,59,16,No
hsqldb,org.hsqldb.persist.IntArrayCachedObject,IntArrayCachedObject,Public Class,31,1,5,0,1,6,1,24,0,1,56,9,0.16,4,4,17,19,0,0,27,26,11,1,89,3,2,2,11,9,0,0,0,11,30,45,15,No
hsqldb,org.hsqldb.persist.TableSpaceManagerSimple,TableSpaceManagerSimple,Public Class,10,1,4,0,1,5,2,18,0,0,44,8,0.18,5,5,17,16,0,0,19,17,10,2,70,2,1,2,10,80,80,0,0,10,19,32,11,No
hsqldb,org.hsqldb.persist.HsqlDatabaseProperties.getUserDefinedProperties.(Anon_1),(Anon_1),Anonymous Class,6,1,4,0,1,5,2,14,0,0,29,0,0,5,5,1,10,0,0,22,13,6,3,43,3,1,2,6,78,72,1,0,5,13,21,8,Yes
hsqldb,org.hsqldb.persist.LobStoreRAFile,LobStoreRAFile,Public Class,10,2,11,0,3,13,2,31,0,0,111,5,0.05,9,9,25,22,0,0,65,51,10,4,147,4,1,2,10,60,43,1,0,9,43,71,28,No
hsqldb,org.hsqldb.persist.LobStoreInJar,LobStoreInJar,Public Class,11,2,7,0,2,9,2,33,0,0,87,7,0.08,10,10,26,23,0,0,47,37,11,5,127,6,1,3,11,76,73,2,0,9,35,59,23,No
hsqldb,org.hsqldb.persist.LobStoreMem,LobStoreMem,Public Class,9,2,9,0,2,11,2,32,0,0,87,5,0.06,1,1,32,30,0,0,55,36,9,4,124,4,1,2,9,47,47,0,0,9,45,63,17,No
hsqldb,org.hsqldb.persist.LockFile,LockFile,Public Class,29,3,14,30,3,47,1,217,4,12,611,1519,2.49,31,31,189,128,0,0,337,246,25,5,2337,12,1,4,29,84,72,12,4,13,231,366,98,No
hsqldb,org.hsqldb.persist.LockFile.BaseException,BaseException,Public Static Abstract Class,4,1,5,6,2,12,1,9,0,0,24,28,1.17,3,3,7,7,0,8,10,10,4,2,60,3,2,1,4,25,25,0,0,4,10,17,6,No
hsqldb,org.hsqldb.persist.LockFile.FileCanonicalizationException,FileCanonicalizationException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,16,28,1.75,3,3,8,5,0,0,4,4,3,1,49,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.FileSecurityException,FileSecurityException,Public Static Final Class,7,1,4,7,1,11,1,6,0,0,15,36,2.4,3,3,7,5,0,0,4,4,3,1,56,1,3,0,3,0,0,0,0,3,5,9,3,No
hsqldb,org.hsqldb.persist.LockFile.HeartbeatRunner,HeartbeatRunner,Private Final Class,1,1,7,0,2,8,2,2,0,0,9,6,0.67,3,3,2,2,0,0,4,3,1,0,17,2,1,1,1,0,0,0,0,1,2,5,2,No
