Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
activemq-5.17.5306,org.apache.activemq.OnePrefetchAsyncConsumerTest.testPrefetchExtension.(Anon_1),(Anon_1),Anonymous Class,1,0,4,0,1,4,2,1,0,0,5,0,0,3,3,0,1,0,0,4,1,1,0,6,1,1,0,1,0,0,0,0,1,1,2,1,No
activemq-5.17.5307,org.apache.activemq.openwire.BooleanStreamTest,BooleanStreamTest,Public Class,8,1,11,1,2,13,1,16,0,0,98,24,0.24,12,12,24,30,0,0,64,49,8,3,138,6,2,2,8,75,54,0,4,4,49,70,15,No
activemq-5.17.5308,org.apache.activemq.openwire.BooleanStreamTest.testBooleanMarshallingUsingAllFalse.(Anon_2),(Anon_2),Anonymous Class,1,0,4,0,1,4,2,0,0,0,5,0,0,1,1,0,1,0,0,4,1,1,0,5,1,1,0,1,0,0,0,0,1,1,2,1,No
activemq-5.17.5309,org.apache.activemq.openwire.BooleanStreamTest.testBooleanMarshallingUsingAllTrue.(Anon_1),(Anon_1),Anonymous Class,1,0,4,0,1,4,2,0,0,0,5,0,0,1,1,0,1,0,0,4,1,1,0,5,1,1,0,1,0,0,0,0,1,1,2,1,No
activemq-5.17.5310,org.apache.activemq.openwire.BooleanStreamTest.testBooleanMarshallingUsingEvenAlternateTrueFalse.(Anon_4),(Anon_4),Anonymous Class,1,0,4,0,1,4,2,0,0,0,5,0,0,1,1,0,1,0,0,4,1,1,0,5,1,1,0,1,0,0,0,0,1,1,2,1,No
activemq-5.17.5311,org.apache.activemq.openwire.BooleanStreamTest.testBooleanMarshallingUsingOddAlternateTrueFalse.(Anon_3),(Anon_3),Anonymous Class,1,0,4,0,1,4,2,0,0,0,5,0,0,1,1,0,1,0,0,4,1,1,0,5,1,1,0,1,0,0,0,0,1,1,2,1,No
activemq-5.17.5312,org.apache.activemq.openwire.BrokerInfoData,BrokerInfoData,Public Class,9,0,10,1,1,10,1,2,0,0,12,17,1.42,3,3,3,3,0,0,8,8,1,0,30,1,3,0,1,0,0,0,1,0,8,10,1,No
activemq-5.17.5313,org.apache.activemq.openwire.DataFileGenerator,DataFileGenerator,Public Abstract Class,8,1,11,2,2,13,1,14,4,3,87,28,0.32,13,13,33,35,0,2,58,55,4,0,129,3,2,2,8,0,0,1,1,6,55,72,13,No
activemq-5.17.5314,org.apache.activemq.openwire.BrokerSubscriptionInfoTest,BrokerSubscriptionInfoTest,Public Class,1,8,24,3,2,35,1,14,0,1,27,19,0.7,13,13,15,15,0,0,21,20,1,0,60,2,1,1,1,0,0,0,0,1,22,25,2,No
activemq-5.17.5315,org.apache.activemq.openwire.DataFileGeneratorTestSupport,DataFileGeneratorTestSupport,Public Abstract Class,49,0,7,0,2,7,1,42,0,5,221,21,0.1,50,50,81,82,0,148,138,129,30,2,284,8,3,3,30,84,81,0,25,5,129,177,45,No
