Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.mahout.clustering.spectral.kmeans.SpectralKMeansDriver,SpectralKMeansDriver,Public Class,47.0,6.0,28.0,10.0,3.0,44.0,1.0,28.0,3.0,5.0,120.0,60.0,0.5,35.0,35.0,58.0,51.0,0.0,0.0,97.0,84.0,1.0,0.0,208.0,5.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,85.0,97.0,10.0,No
org.apache.mahout.clustering.streaming.tools.ClusterQualitySummarizer,ClusterQualitySummarizer,Public Class,48.0,4.0,37.0,1.0,4.0,42.0,1.0,29.0,2.0,0.0,194.0,6.0,0.03,26.0,26.0,59.0,45.0,0.0,0.0,149.0,83.0,3.0,9.0,229.0,10.0,3.0,3.0,5.0,62.0,42.0,1.0,0.0,4.0,80.0,103.0,22.0,No
org.apache.mahout.clustering.ClusteringUtils,ClusteringUtils,Public Final Class,12.0,0.0,14.0,7.0,3.0,21.0,1.0,14.0,11.0,0.0,171.0,98.0,0.57,20.0,20.0,60.0,68.0,0.0,0.0,112.0,101.0,1.0,0.0,283.0,8.0,1.0,4.0,12.0,0.0,0.0,1.0,0.0,11.0,100.0,144.0,37.0,No
org.apache.mahout.clustering.streaming.mapreduce.CentroidWritable,CentroidWritable,Public Class,9.0,0.0,5.0,0.0,1.0,5.0,2.0,9.0,1.0,0.0,51.0,16.0,0.31,10.0,10.0,20.0,15.0,0.0,0.0,24.0,22.0,8.0,1.0,76.0,3.0,1.0,1.0,9.0,22.0,22.0,0.0,0.0,9.0,21.0,34.0,12.0,No
org.apache.mahout.math.Centroid,Centroid,Public Class,80.0,0.0,4.0,0.0,1.0,5.0,1.0,10.0,1.0,0.0,51.0,7.0,0.14,6.0,6.0,19.0,14.0,0.0,0.0,20.0,17.0,10.0,0.0,68.0,2.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,16.0,30.0,13.0,No
org.apache.mahout.clustering.streaming.tools.IOUtils,IOUtils,Public Class,4.0,0.0,8.0,4.0,1.0,12.0,1.0,4.0,3.0,0.0,33.0,15.0,0.45,2.0,2.0,6.0,9.0,0.0,0.0,20.0,9.0,1.0,0.0,52.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,10.0,18.0,4.0,No
org.apache.mahout.clustering.streaming.tools.IOUtils.getCentroidsFromCentroidWritableIterable.(Anon_1),(Anon_1),Anonymous Class,1.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,No
org.apache.mahout.clustering.streaming.tools.IOUtils.getCentroidsFromClusterWritableIterable.(Anon_2),(Anon_2),Anonymous Class,1.0,0.0,6.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,7.0,0.0,2.0,0.0,0.0,7.0,2.0,1.0,1.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,No
org.apache.mahout.clustering.streaming.tools.IOUtils.getVectorsFromVectorWritableIterable.(Anon_3),(Anon_3),Anonymous Class,1.0,0.0,5.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,No
org.apache.mahout.clustering.syntheticcontrol.canopy.Job,Job,Public Final Class,47.0,1.0,12.0,6.0,2.0,19.0,1.0,11.0,2.0,2.0,54.0,39.0,0.72,18.0,18.0,22.0,17.0,0.0,0.0,38.0,32.0,2.0,0.0,104.0,3.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,30.0,38.0,7.0,No
org.apache.mahout.clustering.syntheticcontrol.fuzzykmeans.Job,Job,Public Final Class,47.0,1.0,16.0,6.0,2.0,23.0,1.0,10.0,2.0,3.0,69.0,40.0,0.58,21.0,21.0,25.0,23.0,0.0,0.0,53.0,47.0,2.0,0.0,119.0,4.0,3.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,45.0,54.0,8.0,No
org.apache.mahout.clustering.syntheticcontrol.kmeans.Job,Job,Public Final Class,48.0,0.0,17.0,10.0,2.0,27.0,1.0,9.0,3.0,2.0,88.0,65.0,0.74,21.0,21.0,32.0,28.0,0.0,0.0,68.0,61.0,2.0,0.0,162.0,5.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0,4.0,57.0,68.0,10.0,No
org.apache.mahout.fpm.pfpgrowth.dataset.KeyBasedStringTupleCombiner,KeyBasedStringTupleCombiner,Public Class,1.0,0.0,10.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,9.0,9.0,6.0,4.0,0.0,0.0,4.0,4.0,1.0,0.0,13.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,2.0,No
org.apache.mahout.common.StringTuple,StringTuple,Public Final Class,15.0,0.0,6.0,2.0,2.0,8.0,2.0,17.0,0.0,0.0,99.0,48.0,0.48,10.0,10.0,31.0,30.0,0.0,0.0,50.0,50.0,15.0,1.0,164.0,7.0,1.0,2.0,15.0,27.0,7.0,0.0,0.0,15.0,39.0,72.0,29.0,No
org.apache.mahout.fpm.pfpgrowth.dataset.KeyBasedStringTupleGrouper,KeyBasedStringTupleGrouper,Public Final Class,2.0,4.0,16.0,0.0,2.0,20.0,1.0,10.0,1.0,0.0,34.0,0.0,0.0,19.0,19.0,10.0,8.0,0.0,0.0,26.0,25.0,1.0,0.0,44.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,24.0,28.0,3.0,No
org.apache.mahout.common.Parameters,Parameters,Public Class,10.0,0.0,5.0,0.0,1.0,5.0,1.0,15.0,1.0,1.0,54.0,16.0,0.3,10.0,10.0,23.0,20.0,0.0,0.0,30.0,23.0,9.0,1.0,85.0,2.0,1.0,1.0,10.0,30.0,20.0,0.0,1.0,9.0,22.0,34.0,13.0,No
org.apache.mahout.fpm.pfpgrowth.dataset.KeyBasedStringTupleMapper,KeyBasedStringTupleMapper,Public Class,2.0,3.0,18.0,0.0,4.0,21.0,1.0,12.0,0.0,1.0,41.0,20.0,0.49,14.0,14.0,15.0,17.0,0.0,0.0,25.0,27.0,2.0,3.0,73.0,4.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,27.0,37.0,7.0,No
org.apache.mahout.fpm.pfpgrowth.dataset.KeyBasedStringTupleReducer,KeyBasedStringTupleReducer,Public Class,2.0,2.0,18.0,0.0,5.0,20.0,1.0,7.0,0.0,0.0,39.0,16.0,0.41,12.0,12.0,12.0,12.0,0.0,0.0,23.0,20.0,2.0,1.0,62.0,8.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,16.0,29.0,9.0,No
org.apache.mahout.fpm.pfpgrowth.DeliciousTagsExample,DeliciousTagsExample,Public Final Class,2.0,4.0,25.0,0.0,3.0,29.0,1.0,8.0,1.0,0.0,52.0,16.0,0.31,16.0,16.0,21.0,18.0,0.0,0.0,43.0,34.0,1.0,0.0,76.0,5.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,31.0,38.0,6.0,No
org.apache.mahout.classifier.sgd.LogisticModelParametersTest,LogisticModelParametersTest,Public Class,18.0,1.0,10.0,1.0,1.0,12.0,1.0,3.0,0.0,0.0,12.0,1.0,0.08,7.0,7.0,4.0,3.0,0.0,0.0,7.0,7.0,1.0,0.0,16.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,9.0,1.0,No
org.apache.mahout.classifier.sgd.ModelDissectorTest,ModelDissectorTest,Public Class,18.0,3.0,12.0,0.0,1.0,15.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0,9.0,9.0,1.0,0.0,17.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,1.0,No
org.apache.mahout.examples.MahoutTestCase,MahoutTestCase,Public Abstract Class,17.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,22.0,7.33,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,No
org.apache.mahout.classifier.sgd.TrainLogisticTest,TrainLogisticTest,Public Class,20.0,3.0,37.0,1.0,2.0,41.0,1.0,13.0,1.0,0.0,112.0,3.0,0.03,27.0,27.0,30.0,26.0,0.0,0.0,95.0,61.0,2.0,0.0,128.0,3.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,58.0,67.0,5.0,No
org.apache.mahout.clustering.display.ClustersFilterTest,ClustersFilterTest,Public Class,20.0,2.0,11.0,0.0,1.0,13.0,1.0,10.0,0.0,0.0,37.0,0.0,0.0,9.0,9.0,18.0,14.0,0.0,0.0,23.0,23.0,3.0,2.0,47.0,1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,25.0,29.0,3.0,No
org.apache.mahout.cf.taste.common.Weighting,Weighting,Public Enum Type,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,22.0,5.5,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,0.0,1.0,0.0,2.0,,,0.0,0.0,2.0,0.0,1.0,0.0,No
org.apache.mahout.cf.taste.hadoop.als.ALS,ALS,Final Class,5.0,2.0,9.0,0.0,2.0,10.0,1.0,13.0,4.0,0.0,46.0,16.0,0.35,22.0,22.0,22.0,21.0,1.0,0.0,28.0,25.0,1.0,0.0,75.0,4.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,3.0,20.0,34.0,11.0,No
org.apache.mahout.common.iterator.sequencefile.SequenceFileDirValueIterator,SequenceFileDirValueIterator,Public Final Generic Class,5.0,2.0,14.0,5.0,2.0,20.0,2.0,16.0,0.0,1.0,75.0,46.0,0.61,16.0,16.0,32.0,18.0,0.0,0.0,38.0,29.0,5.0,2.0,136.0,4.0,2.0,1.0,5.0,40.0,20.0,1.0,1.0,3.0,29.0,42.0,11.0,No
