Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.drill.exec.memory.TestEndianess,TestEndianess,Public Class,1.0,0.0,12.0,0.0,1.0,12.0,1.0,2.0,0.0,0.0,14.0,17.0,1.21,6.0,6.0,5.0,4.0,0.0,0.0,9.0,9.0,1.0,0.0,33.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,11.0,1.0,No
org.apache.drill.common.SerializedExecutor,SerializedExecutor,Public Abstract Class,3.0,1.0,8.0,4.0,2.0,12.0,2.0,12.0,0.0,0.0,56.0,52.0,0.93,6.0,6.0,16.0,14.0,0.0,0.0,30.0,26.0,3.0,4.0,120.0,2.0,1.0,1.0,3.0,38.0,38.0,0.0,1.0,2.0,23.0,37.0,3.0,No
org.apache.drill.common.SerializedExecutor.RunnableProcessor,RunnableProcessor,Private Class,2.0,1.0,16.0,0.0,3.0,17.0,2.0,5.0,0.0,0.0,34.0,0.0,0.0,6.0,6.0,7.0,6.0,0.0,0.0,20.0,17.0,2.0,1.0,39.0,5.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,12.0,21.0,6.0,No
org.apache.drill.exec.rpc.AbstractHandshakeHandler,AbstractHandshakeHandler,Public Abstract Generic Class,3.0,1.0,13.0,1.0,3.0,14.0,1.0,7.0,0.0,1.0,33.0,18.0,0.55,11.0,11.0,10.0,9.0,0.0,2.0,18.0,16.0,3.0,3.0,58.0,4.0,2.0,2.0,3.0,17.0,17.0,0.0,2.0,1.0,16.0,23.0,5.0,No
org.apache.drill.exec.rpc.InboundRpcMessage,InboundRpcMessage,Public Class,8.0,0.0,6.0,0.0,2.0,6.0,1.0,6.0,0.0,0.0,34.0,17.0,0.5,6.0,6.0,12.0,9.0,1.0,0.0,14.0,13.0,5.0,2.0,57.0,3.0,2.0,1.0,5.0,10.0,10.0,0.0,0.0,4.0,12.0,21.0,8.0,No
org.apache.drill.exec.rpc.RpcMessage,RpcMessage,Public Abstract Class,3.0,0.0,5.0,0.0,1.0,5.0,1.0,4.0,0.0,1.0,13.0,17.0,1.31,2.0,2.0,8.0,8.0,1.0,2.0,4.0,4.0,3.0,3.0,34.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,11.0,1.0,No
org.apache.drill.exec.rpc.AbstractRemoteConnection.BackPressureHandler,BackPressureHandler,Private Class,1.0,0.0,5.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,No
org.apache.drill.exec.rpc.AbstractRemoteConnection.WriteManager,WriteManager,Private Static Class,4.0,0.0,4.0,0.0,2.0,4.0,1.0,5.0,0.0,0.0,20.0,5.0,0.25,2.0,2.0,7.0,7.0,0.0,0.0,9.0,8.0,4.0,2.0,30.0,3.0,1.0,1.0,4.0,38.0,38.0,0.0,0.0,4.0,7.0,14.0,6.0,No
org.apache.drill.exec.rpc.RequestIdMap,RequestIdMap,Class,6.0,1.0,10.0,1.0,2.0,11.0,1.0,26.0,0.0,1.0,123.0,28.0,0.23,19.0,19.0,44.0,35.0,1.0,0.0,62.0,50.0,6.0,3.0,177.0,2.0,1.0,1.0,6.0,61.0,50.0,1.0,0.0,4.0,49.0,76.0,10.0,No
org.apache.drill.exec.rpc.ResettableBarrier,ResettableBarrier,Public Class,5.0,0.0,3.0,1.0,1.0,4.0,1.0,14.0,0.0,1.0,45.0,24.0,0.53,4.0,4.0,17.0,15.0,0.0,0.0,18.0,17.0,5.0,1.0,83.0,1.0,1.0,0.0,5.0,20.0,20.0,0.0,0.0,5.0,15.0,29.0,5.0,No
