Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
cxf,org.apache.cxf.systest.jms.tx.MyBeanLocator,MyBeanLocator,Public Class,8,0,5,0,1,5,2,8,0,0,43,18,0.42,10,10,17,14,0,0,17,17,8,2,69,3,1,2,8,38,38,0,0,8,15,28,11,No
cxf,org.apache.cxf.systest.http2.netty.AbstractBookServerHttp2,AbstractBookServerHttp2,Abstract Class,19,0,8,0,1,8,1,4,0,0,30,19,0.63,13,13,11,11,1,2,18,17,3,4,52,1,3,0,3,33,33,0,1,1,21,25,3,No
cxf,org.apache.cxf.customer.book.Book,Book,Public Class,4,0,3,0,1,3,1,4,0,0,17,18,1.06,2,2,8,7,0,0,4,4,4,2,39,1,1,0,4,50,50,0,0,4,6,11,4,No
cxf,org.apache.cxf.systest.http2.netty.BookStore,BookStore,Public Class,3,0,12,0,1,12,1,3,0,1,40,18,0.45,10,10,16,8,0,0,17,13,3,0,61,1,1,0,3,100,100,0,0,3,12,20,3,No
cxf,org.apache.cxf.systest.http2.netty.AbstractNettyClientServerHttp2Test,AbstractNettyClientServerHttp2Test,Abstract Class,32,2,11,0,1,12,1,20,0,0,88,19,0.22,13,13,35,24,0,2,59,36,10,0,127,3,3,2,10,0,0,1,3,6,34,47,10,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.ClientResponse,ClientResponse,Public Static Class,7,0,3,0,1,3,1,7,0,0,27,0,0,1,1,11,11,0,0,8,8,7,3,34,1,1,0,7,62,62,0,0,7,11,19,7,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient,Http2TestClient,Public Class,4,3,15,0,2,17,2,63,0,0,256,29,0.11,35,35,88,79,0,0,146,116,4,1,348,2,1,1,4,75,75,0,0,4,119,171,6,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.RequestBuilder,RequestBuilder,Public Class,6,0,4,0,1,4,1,7,0,0,27,0,0,7,7,11,11,0,0,12,9,6,4,34,1,1,0,6,50,50,0,0,6,13,20,6,No
cxf,org.apache.cxf.systest.http2.netty.Book,Book,Public Class,8,0,3,0,1,3,1,7,0,0,33,18,0.55,5,5,15,11,0,0,9,9,8,2,58,1,1,0,8,50,50,0,0,8,11,20,8,No
cxf,org.apache.cxf.systest.http2.netty.BookServerHttp2,BookServerHttp2,Public Class,22,0,6,0,1,6,1,5,1,1,21,18,0.86,3,3,7,7,0,0,11,9,2,1,44,2,4,1,3,100,100,0,0,3,9,14,4,No
cxf,org.apache.cxf.systest.http2.netty.BookServerHttp2c,BookServerHttp2c,Public Class,22,0,6,0,1,6,1,4,1,1,20,18,0.9,2,2,6,6,0,0,11,9,2,0,42,2,4,1,3,0,0,0,0,3,8,13,4,No
cxf,org.apache.cxf.systest.http2.netty.BookStore.getBookStream.(Anon_1),(Anon_1),Anonymous Class,1,0,16,0,1,16,2,0,0,0,17,0,0,4,4,0,3,0,0,13,9,1,0,17,1,1,0,1,0,0,0,0,1,8,12,1,No
cxf,org.apache.cxf.systest.http2.netty.BookStore.getBookStream.(Anon_1).writeTo.(Anon_2),(Anon_2),Anonymous Class,1,0,11,0,3,11,1,0,0,0,12,0,0,4,4,0,2,0,0,9,7,1,0,12,3,2,2,1,0,0,0,0,1,6,9,3,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.Http2ClientInitializer,Http2ClientInitializer,Private Class,4,1,9,0,1,10,1,8,0,0,43,0,0,16,16,15,13,3,0,27,18,4,4,51,2,2,1,4,56,56,0,0,1,21,27,5,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.Http2SettingsHandler,Http2SettingsHandler,Private Class,3,0,5,1,2,7,1,3,0,0,19,4,0.21,8,8,6,5,2,0,7,7,3,1,26,3,2,1,3,0,0,0,1,0,6,12,5,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.HttpResponseHandler,HttpResponseHandler,Private Class,5,2,11,0,3,13,1,14,0,0,59,0,0,21,21,20,18,4,0,37,33,5,2,73,6,2,2,5,40,40,0,1,0,27,41,13,No
cxf,org.apache.cxf.systest.http2.netty.Http2TestClient.UpgradeRequestHandler,UpgradeRequestHandler,Private Class,2,1,8,0,1,9,1,4,0,0,19,4,0.21,11,11,7,6,1,0,10,10,2,2,27,1,2,0,2,0,0,0,0,1,12,15,2,No
cxf,org.apache.cxf.systest.http2.netty.NettyClientServerHttp2cTest,NettyClientServerHttp2cTest,Public Class,35,0,5,0,1,5,1,3,1,1,17,19,1.12,6,6,8,5,0,0,6,5,2,0,38,1,4,0,3,0,0,0,2,1,6,10,3,No
cxf,org.apache.cxf.systest.http2.netty.NettyClientServerHttp2Test,NettyClientServerHttp2Test,Public Class,35,0,5,0,1,5,1,4,1,1,17,19,1.12,6,6,8,5,0,0,6,5,2,0,39,1,4,0,3,0,0,0,2,1,6,10,3,No
cxf,org.apache.cxf.systest.http_undertow.ClientServerSessionTest,ClientServerSessionTest,Public Class,32,4,18,1,2,23,1,50,1,1,181,27,0.15,18,18,54,42,0,0,135,114,9,0,253,6,3,2,10,0,0,1,0,9,110,133,22,No
cxf,org.apache.cxf.systest.http_undertow.GreeterSessionImpl,GreeterSessionImpl,Public Class,10,1,6,0,2,7,2,28,0,1,76,21,0.28,14,14,29,24,0,0,41,38,10,1,124,5,1,2,10,80,80,0,0,10,34,52,16,No
cxf,org.apache.cxf.systest.http_undertow.SessionServer,SessionServer,Public Class,19,0,7,0,1,8,1,4,1,1,26,19,0.73,7,7,12,9,0,0,13,11,2,1,49,2,3,1,3,33,33,0,1,2,12,17,4,No
cxf,org.apache.cxf.systest.http_undertow.continuations.ClientServerWrappedContinuationTest,ClientServerWrappedContinuationTest,Public Class,15,4,15,1,1,18,1,25,1,5,92,24,0.26,23,23,42,35,0,0,69,63,3,0,135,1,2,0,4,0,0,1,0,3,66,75,4,No
cxf,org.apache.cxf.systest.http_undertow.continuations.ClientServerWrappedContinuationTest.Server,Server,Public Static Class,18,1,11,1,2,12,1,3,1,0,24,2,0.08,11,11,9,9,0,0,17,15,1,0,27,2,3,1,2,0,0,0,1,1,15,19,3,No
