Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
argouml,org.argouml.uml.ui.ActionNavigateUpPreviousDown,ActionNavigateUpPreviousDown,Public Abstract Class,17,0,10,2,2,12,1,4,0,0,25,24,0.96,4,4,11,10,0,0,14,12,4,0,53,3,4,2,4,0,0,0,1,3,13,18,4,No
argouml,org.argouml.uml.ui.ActionRemoveModelElement,ActionRemoveModelElement,Public Class,14,0,5,1,1,6,1,6,0,1,19,21,1.11,4,4,7,6,0,0,9,8,3,0,46,2,4,1,3,0,0,0,1,2,7,12,4,No
argouml,org.argouml.uml.ui.behavior.activity_graphs.ActionAddEventAsTrigger,ActionAddEventAsTrigger,Public Class,24,0,6,2,1,8,1,12,0,1,36,19,0.53,11,11,13,11,0,0,20,16,5,0,67,2,4,1,5,0,0,0,5,0,14,22,7,No
argouml,org.argouml.uml.ui.behavior.activity_graphs.ActionNewEntryCallAction,ActionNewEntryCallAction,Class,6,0,5,2,1,7,1,3,0,0,12,12,1,5,5,5,5,0,0,6,6,2,0,27,1,3,0,2,0,0,0,0,2,6,9,2,No
argouml,org.argouml.uml.ui.behavior.activity_graphs.ActionSetSynch,ActionSetSynch,Public Class,7,0,7,2,2,9,1,5,1,1,25,18,0.72,7,7,9,8,0,0,14,10,2,0,48,3,3,2,3,0,0,0,1,2,9,15,5,No
argouml,org.argouml.uml.ui.behavior.activity_graphs.UMLActionSynchCheckBox,UMLActionSynchCheckBox,Public Class,10,0,5,2,2,6,1,3,0,0,11,11,1,4,4,3,3,0,0,4,3,2,0,25,2,3,1,2,0,0,0,0,2,2,6,3,No
argouml,org.argouml.uml.ui.behavior.collaborations.ActionAddMessagePredecessor,ActionAddMessagePredecessor,Public Class,25,0,6,1,2,7,1,12,1,1,40,12,0.3,10,10,13,11,0,0,21,18,5,0,64,2,4,1,6,0,0,0,5,1,15,25,9,No
argouml,org.argouml.uml.ui.behavior.collaborations.ActionNewActionForMessage,ActionNewActionForMessage,Public Class,13,0,4,2,1,6,1,5,1,1,20,22,1.1,4,4,7,6,0,0,8,8,3,0,47,2,4,1,4,0,0,0,0,4,7,13,5,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionAddContextSignal,ActionAddContextSignal,Public Class,24,0,5,1,1,5,1,9,0,0,26,8,0.31,11,11,10,9,0,0,12,11,5,0,43,2,4,1,5,0,0,0,4,1,10,17,6,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionAddCreateActionInstantiation,ActionAddCreateActionInstantiation,Public Class,24,0,7,1,2,8,1,12,0,1,40,10,0.25,11,11,15,13,0,0,23,18,5,1,62,2,4,1,5,80,80,0,4,1,16,25,8,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionAddInstanceClassifier,ActionAddInstanceClassifier,Public Class,25,0,5,2,1,7,1,11,0,0,32,18,0.56,13,13,13,12,0,0,16,15,6,1,61,2,4,1,6,67,67,0,4,2,14,22,7,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewAction,ActionNewAction,Public Abstract Class,13,0,13,3,5,16,2,11,1,1,51,52,1.02,9,9,15,14,0,8,37,29,3,0,114,7,4,1,4,0,0,0,2,2,25,42,15,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewActionSequence.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewArgument,ActionNewArgument,Public Class,11,0,6,2,2,8,1,2,0,0,14,11,0.79,6,6,5,5,0,0,7,7,2,0,27,2,4,1,2,0,0,0,0,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewCallAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewCreateAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewDestroyAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewException,ActionNewException,Public Class,11,1,9,2,2,11,1,3,0,0,19,11,0.58,8,8,6,6,0,0,12,10,2,0,33,2,4,1,2,0,0,0,0,2,10,14,3,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewReception,ActionNewReception,Public Class,11,0,9,2,2,10,1,2,0,0,19,12,0.63,8,8,7,5,0,0,10,8,2,0,33,2,4,1,2,0,0,0,0,2,7,11,3,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewReturnAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewSendAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewSignal,ActionNewSignal,Public Class,11,0,14,4,2,18,1,2,0,0,30,11,0.37,10,10,9,8,0,0,21,15,2,0,43,3,4,2,2,0,0,0,0,2,14,19,4,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewTerminateAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionNewUninterpretedAction.getButtonInstance.(Anon_1),(Anon_1),Anonymous Class,18,0,8,0,2,8,1,1,0,0,9,0,0,4,4,2,2,0,0,7,5,1,0,10,2,6,1,1,0,0,0,0,1,4,6,2,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionRemoveArgument,ActionRemoveArgument,Public Class,13,0,6,2,2,8,1,4,0,0,14,13,0.93,4,4,5,5,0,0,7,7,2,0,31,2,4,1,2,0,0,0,1,1,6,10,3,No
argouml,org.argouml.uml.ui.behavior.common_behavior.ActionSetActionAsynchronous,ActionSetActionAsynchronous,Public Class,7,0,7,2,2,9,1,5,1,2,26,21,0.81,7,7,10,9,0,0,15,10,2,0,52,3,3,2,3,0,0,0,1,2,10,16,5,No
argouml,org.argouml.uml.ui.behavior.common_behavior.UMLActionAsynchronousCheckBox,UMLActionAsynchronousCheckBox,Public Class,10,1,5,2,2,7,1,4,0,0,11,11,1,4,4,3,3,0,0,4,3,2,0,26,2,3,1,2,0,0,0,0,2,2,6,3,No
argouml,org.argouml.uml.ui.behavior.common_behavior.UMLReceptionSpecificationDocument,UMLReceptionSpecificationDocument,Public Class,20,0,5,1,2,6,1,5,0,0,16,14,0.88,4,4,4,4,0,0,6,6,3,0,35,2,3,1,3,0,0,0,2,1,4,10,5,No
argouml,org.argouml.uml.ui.UMLPlainTextDocument,UMLPlainTextDocument,Public Abstract Class,17,0,6,3,2,10,2,30,0,1,107,103,0.96,13,13,31,26,0,11,59,45,17,4,240,5,2,3,17,85,42,4,3,10,42,67,25,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionAddEventAsDeferrableEvent,ActionAddEventAsDeferrableEvent,Public Class,24,0,9,2,2,11,1,12,0,2,49,23,0.47,11,11,18,16,0,0,28,23,5,0,84,5,4,2,5,0,0,0,5,0,19,32,10,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionAddSignalsToSignalEvent,ActionAddSignalsToSignalEvent,Class,24,0,6,1,1,7,1,12,0,2,37,17,0.46,11,11,14,12,0,0,21,16,5,0,66,2,4,1,5,0,0,0,5,0,15,23,7,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewCallEvent,ActionNewCallEvent,Public Class,16,0,3,2,1,5,1,5,1,1,13,13,1,3,3,5,5,0,0,5,5,2,0,31,1,5,0,3,67,67,0,2,1,5,9,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewEvent,ActionNewEvent,Public Abstract Class,13,0,9,5,2,14,1,8,1,1,35,41,1.17,9,9,15,13,0,4,20,14,3,0,84,3,4,1,4,0,0,0,2,2,15,23,6,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewChangeEvent,ActionNewChangeEvent,Public Class,16,0,3,2,1,5,1,5,1,1,13,17,1.31,3,3,5,5,0,0,5,5,2,0,35,1,5,0,3,67,67,0,2,1,5,9,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewCompositeState,ActionNewCompositeState,Public Class,12,0,4,2,1,6,1,5,1,1,18,12,0.67,7,7,8,5,0,0,7,6,2,0,35,1,4,0,3,67,67,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewFinalState,ActionNewFinalState,Public Class,12,0,4,2,1,6,1,5,1,1,16,12,0.75,7,7,7,5,0,0,6,6,2,0,33,1,4,0,3,67,67,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewGuard,ActionNewGuard,Public Class,13,0,5,2,1,6,1,6,1,1,22,18,0.82,7,7,10,7,0,0,9,7,3,0,46,1,4,0,4,75,75,0,1,3,7,12,4,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewPseudoState,ActionNewPseudoState,Public Class,12,0,6,3,1,9,1,4,0,0,23,15,0.65,10,10,10,7,0,0,10,10,3,1,42,2,4,1,3,33,33,0,0,3,10,15,4,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewSignalEvent,ActionNewSignalEvent,Public Class,16,0,3,2,1,5,1,5,1,1,13,14,1.08,3,3,5,5,0,0,5,5,2,0,32,1,5,0,3,67,67,0,2,1,5,9,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewSimpleState,ActionNewSimpleState,Public Class,12,0,4,2,1,6,1,5,1,1,16,12,0.75,7,7,7,5,0,0,6,6,2,0,33,1,4,0,3,67,67,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewStubState,ActionNewStubState,Public Class,12,0,4,2,1,6,1,5,1,1,18,12,0.67,7,7,8,5,0,0,7,6,2,0,35,1,4,0,3,0,0,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewSubmachineState,ActionNewSubmachineState,Public Class,12,0,4,2,1,6,1,5,1,1,18,12,0.67,7,7,8,5,0,0,7,6,2,0,35,1,4,0,3,0,0,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewSynchState,ActionNewSynchState,Public Class,12,0,4,2,1,6,1,4,1,1,17,12,0.71,7,7,8,5,0,0,6,6,2,0,33,1,4,0,3,0,0,0,1,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewTimeEvent,ActionNewTimeEvent,Public Class,16,0,3,2,1,5,1,5,1,1,13,17,1.31,3,3,5,5,0,0,5,5,2,0,35,1,5,0,3,67,67,0,2,1,5,9,3,No
argouml,org.argouml.uml.ui.behavior.state_machines.ActionNewTransition,ActionNewTransition,Public Class,12,0,7,1,1,8,1,7,0,2,26,22,0.85,8,8,11,8,0,0,14,8,3,0,55,2,4,1,3,0,0,0,0,3,9,14,4,No
argouml,org.argouml.uml.ui.behavior.state_machines.PopupMenuNewEvent,PopupMenuNewEvent,Public Class,2,3,21,7,3,31,1,9,1,1,46,22,0.48,18,18,9,7,1,0,37,32,1,0,77,4,2,2,2,0,0,0,0,1,30,36,5,No
argouml,org.argouml.uml.ui.behavior.state_machines.UMLChangeExpressionModel,UMLChangeExpressionModel,Class,20,0,5,2,1,7,1,7,0,1,24,20,0.83,10,10,9,7,0,0,11,9,4,0,51,2,2,1,4,0,0,0,0,4,8,14,5,No
argouml,org.argouml.uml.ui.UMLExpressionModel2,UMLExpressionModel2,Public Abstract Class,16,0,9,4,3,14,3,25,0,1,132,72,0.55,11,11,32,31,0,6,74,60,16,5,229,6,1,2,16,68,51,1,1,14,54,89,34,No
argouml,org.argouml.uml.ui.behavior.state_machines.UMLSynchStateBoundDocument,UMLSynchStateBoundDocument,Public Class,21,0,8,1,2,9,1,6,0,1,34,15,0.44,9,9,12,7,0,0,16,11,4,0,55,2,3,1,4,0,0,0,2,2,9,17,7,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionAddExtendExtensionPoint,ActionAddExtendExtensionPoint,Public Class,25,0,5,1,1,6,1,11,1,1,34,12,0.35,9,9,16,12,0,0,16,14,5,0,56,2,4,1,6,0,0,0,5,1,13,21,7,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionNewActor,ActionNewActor,Public Class,11,0,7,2,2,9,1,2,0,0,16,11,0.69,9,9,6,5,0,0,8,7,2,0,29,2,4,1,2,0,0,0,0,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionNewExtendExtensionPoint,ActionNewExtendExtensionPoint,Public Class,11,0,6,2,2,8,1,4,0,1,17,14,0.82,5,5,8,5,0,0,7,6,2,0,35,2,4,1,2,0,0,0,1,1,5,9,3,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionNewExtensionPoint,ActionNewExtensionPoint,Class,11,0,7,2,2,8,1,3,0,1,17,17,1,7,7,6,5,0,0,9,6,2,0,37,2,4,1,2,0,0,0,0,2,6,10,3,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionNewUseCase,ActionNewUseCase,Public Class,11,0,9,2,2,10,1,2,0,0,19,13,0.68,8,8,7,6,0,0,11,10,2,0,34,3,4,2,2,0,0,0,0,2,8,13,4,No
argouml,org.argouml.uml.ui.behavior.use_cases.ActionNewUseCaseExtensionPoint,ActionNewUseCaseExtensionPoint,Public Class,11,0,5,2,2,6,1,3,0,1,14,14,1,4,4,6,4,0,0,5,5,2,0,31,2,4,1,2,0,0,0,1,1,4,8,3,No
argouml,org.argouml.uml.ui.behavior.use_cases.UMLExtensionPointLocationDocument,UMLExtensionPointLocationDocument,Public Class,20,0,3,1,1,4,1,4,0,0,11,15,1.36,4,4,4,4,0,0,3,3,3,0,30,1,3,0,3,0,0,0,2,1,3,7,3,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddAssociationSpecification,ActionAddAssociationSpecification,Public Class,25,0,5,1,1,6,1,10,1,1,33,11,0.33,12,12,14,12,0,0,16,14,5,0,54,2,4,1,6,0,0,0,5,1,13,21,7,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddAttribute.getTargetFollower.(Anon_1),(Anon_1),Anonymous Class,4,0,3,0,1,3,2,1,0,0,13,0,0,2,2,0,4,0,0,9,4,4,0,14,1,1,0,4,0,0,1,0,3,4,8,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddClientDependencyAction,ActionAddClientDependencyAction,Public Class,24,0,9,1,2,10,1,7,0,0,50,24,0.48,14,14,17,17,0,0,30,26,5,0,80,5,4,2,5,0,0,0,4,1,20,35,11,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddDataType,ActionAddDataType,Public Class,11,1,17,2,5,19,1,3,0,0,36,11,0.31,7,7,6,6,0,0,22,21,2,0,50,9,4,2,2,0,0,0,0,2,14,25,10,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddEnumeration,ActionAddEnumeration,Public Class,11,1,18,2,5,20,1,3,0,0,38,11,0.29,9,9,7,7,0,0,24,23,2,0,52,9,4,2,2,0,0,0,0,2,16,27,10,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddEnumerationLiteral,ActionAddEnumerationLiteral,Public Class,6,1,11,2,2,13,1,6,0,1,25,14,0.56,8,8,9,7,0,0,15,10,2,0,45,3,3,1,2,0,0,0,0,2,10,15,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddLiteral,ActionAddLiteral,Public Class,11,0,10,2,2,11,1,2,0,0,21,9,0.43,9,9,7,6,0,0,12,11,2,0,32,3,4,1,2,0,0,0,0,2,9,14,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddOperation.getTargetFollower.(Anon_1),(Anon_1),Anonymous Class,4,0,3,0,1,3,2,1,0,0,13,0,0,2,2,0,4,0,0,9,4,4,0,14,1,1,0,4,0,0,1,0,3,4,8,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionAddSupplierDependencyAction,ActionAddSupplierDependencyAction,Public Class,24,0,9,1,2,10,1,8,0,0,50,24,0.48,14,14,16,17,0,0,30,26,5,0,81,5,4,2,5,0,0,0,4,1,20,35,11,No
argouml,org.argouml.uml.ui.foundation.core.ActionNewClass,ActionNewClass,Public Class,11,0,8,2,2,10,1,2,0,0,18,12,0.67,7,7,7,7,0,0,10,9,2,0,32,3,4,2,2,0,0,0,0,2,8,13,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionNewInnerClass,ActionNewInnerClass,Public Class,11,0,7,2,2,8,1,2,0,0,15,12,0.8,7,7,6,6,0,0,8,7,2,0,28,2,4,1,2,0,0,0,0,2,7,11,3,No
argouml,org.argouml.uml.ui.foundation.core.ActionNewInterface,ActionNewInterface,Class,11,0,9,2,2,10,1,2,0,0,19,12,0.63,8,8,7,6,0,0,11,8,2,0,33,2,4,1,2,0,0,0,0,2,8,12,3,No
argouml,org.argouml.uml.ui.foundation.core.ActionNewModelElementConstraint,ActionNewModelElementConstraint,Public Class,12,0,3,2,1,5,1,5,1,1,15,14,0.93,3,3,7,5,0,0,5,5,2,0,34,1,4,0,3,0,0,0,1,2,5,9,3,No
argouml,org.argouml.uml.ui.foundation.core.ActionNewParameter,ActionNewParameter,Public Class,11,0,10,2,2,11,1,2,0,0,21,13,0.62,9,9,7,6,0,0,12,10,2,0,36,3,4,1,2,0,0,0,0,2,8,13,4,No
argouml,org.argouml.uml.ui.foundation.core.ActionSetAssociationEndNavigable,ActionSetAssociationEndNavigable,Public Class,7,0,6,2,2,9,1,4,1,1,23,15,0.65,7,7,9,8,0,0,12,10,2,0,42,3,3,2,3,0,0,0,1,2,9,15,5,No
argouml,org.argouml.uml.ui.foundation.core.ActionSetAssociationEndOrdering,ActionSetAssociationEndOrdering,Public Class,7,0,8,2,2,11,1,5,1,1,29,15,0.52,8,8,9,8,0,0,17,12,2,0,49,4,3,3,3,0,0,0,1,2,10,17,6,No
