Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Cassandra,org.apache.cassandra.db.MutationExceededMaxSizeExceptionTest,MutationExceededMaxSizeExceptionTest,Public Class,1,1,12,0,1,13,1,2,0,0,14,0,0,5,5,4,3,0,0,8,8,1,0,16,1,1,0,1,0,0,0,0,1,8,10,1,No
Cassandra,org.apache.cassandra.db.NameSortTest,NameSortTest,Public Class,6,0,10,1,2,10,1,6,1,2,62,3,0.05,22,22,19,20,0,0,29,26,5,0,71,6,1,4,6,0,0,2,0,4,25,41,14,No
Cassandra,org.apache.cassandra.db.NativeCellTest,NativeCellTest,Public Class,10,0,11,0,2,12,1,14,8,4,113,0,0,29,29,40,40,0,0,69,60,1,0,127,3,1,2,9,22,22,7,0,2,62,79,17,No
Cassandra,org.apache.cassandra.db.partition.PartitionImplementationTest,PartitionImplementationTest,Public Class,35,1,12,1,2,13,1,57,5,7,440,25,0.06,62,62,116,119,4,0,263,221,30,1,518,14,1,5,35,77,44,20,0,11,209,287,99,No
Cassandra,org.apache.cassandra.Util.UnfilteredSource,UnfilteredSource,Public Static Class,18,0,8,0,2,8,2,2,0,0,20,0,0,9,9,5,4,0,0,9,3,2,1,22,2,3,0,2,0,0,0,1,1,4,7,4,No
Cassandra,org.apache.cassandra.db.partition.PartitionUpdateTest,PartitionUpdateTest,Public Class,137,3,15,0,1,18,1,11,0,0,48,0,0,8,8,19,16,0,0,33,33,3,0,59,1,2,0,3,0,0,0,0,3,33,37,3,No
Cassandra,org.apache.cassandra.db.PartitionRangeReadTest,PartitionRangeReadTest,Public Class,5,3,22,2,2,27,1,22,1,5,119,8,0.07,24,24,28,26,0,0,91,56,4,0,149,3,1,1,5,0,0,0,0,5,62,71,8,No
Cassandra,org.apache.cassandra.db.partitions.PurgeFunctionTest,PurgeFunctionTest,Public Final Class,16,1,13,0,1,14,1,35,2,2,218,0,0,29,29,85,51,0,0,123,53,14,2,253,2,1,3,16,81,31,7,0,9,55,80,18,No
Cassandra,org.apache.cassandra.db.partitions.PurgeFunctionTest.iter.(Anon_1),(Anon_1),Anonymous Class,17,0,4,0,2,4,1,0,0,0,5,0,0,2,2,0,1,0,0,2,1,1,0,5,2,3,0,1,0,0,0,1,0,1,2,2,No
Cassandra,org.apache.cassandra.db.partitions.PurgeFunctionTest.withoutPurgeableTombstones.WithoutPurgeableTombstones,WithoutPurgeableTombstones,Class,35,0,4,0,1,4,1,1,0,0,11,0,0,3,3,3,3,0,0,2,2,2,0,12,1,3,0,2,0,0,1,1,0,2,5,3,No
Cassandra,org.apache.cassandra.db.PartitionTest,PartitionTest,Public Class,7,3,15,0,1,18,1,26,1,3,112,0,0,40,40,45,41,0,0,79,69,6,0,138,2,1,2,7,0,0,1,0,6,72,84,10,No
