Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
poi,org.apache.poi.hwmf.record.HwmfDraw.WmfFrameRegion,WmfFrameRegion,Public Static Class,7,0,6,0,1,6,2,8,0,0,48,15,0.31,14,14,24,20,0,1,26,23,7,3,71,1,1,0,7,57,43,0,0,7,25,33,7,No
poi,org.apache.poi.hwmf.record.HwmfFill.WmfSetPolyfillMode,WmfSetPolyfillMode,Public Static Class,6,0,4,0,1,4,2,9,0,0,43,19,0.44,12,12,20,14,0,1,12,13,6,1,71,1,1,0,6,50,33,0,0,6,15,27,6,No
poi,org.apache.poi.hwmf.record.HwmfFill.WmfSetPolyfillMode.HwmfPolyfillMode,HwmfPolyfillMode,Public Enum Type,4,0,3,0,1,3,1,2,1,0,16,11,0.69,2,2,7,6,1,0,5,6,3,4,29,3,1,2,4,,,0,0,3,7,12,4,No
poi,org.apache.poi.hwmf.record.HwmfFill.WmfStretchDib,WmfStretchDib,Public Static Class,12,0,5,0,1,6,3,21,0,0,69,22,0.32,22,22,29,21,0,2,33,26,12,5,112,3,1,1,12,73,67,0,0,12,27,42,14,No
poi,org.apache.poi.hemf.record.emf.HemfFont,HemfFont,Public Class,32,5,13,11,2,29,1,76,0,2,319,109,0.34,29,29,182,62,0,0,117,105,10,4,504,10,2,3,10,90,90,0,1,9,119,156,25,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontExDv,LogFontExDv,Protected Static Class,1,0,4,0,2,4,2,1,0,0,7,0,0,2,2,4,3,0,0,1,1,1,1,8,2,1,0,1,0,0,0,0,1,2,4,2,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose,LogFontPanose,Protected Static Class,2,0,11,0,1,11,3,12,0,0,170,0,0,16,16,142,27,0,0,16,16,2,13,182,1,1,0,2,100,100,0,0,2,29,42,15,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.ArmStyle,ArmStyle,Enum Type,2,0,0,0,0,0,1,0,0,0,14,0,0,1,1,13,1,0,0,0,0,2,12,14,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.Contrast,Contrast,Enum Type,2,0,0,0,0,0,1,0,0,0,12,0,0,1,1,11,1,0,0,0,0,2,10,12,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.FamilyType,FamilyType,Enum Type,2,0,0,0,0,0,1,0,0,0,8,0,0,1,1,7,1,0,0,0,0,2,6,8,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.FontWeight,FontWeight,Enum Type,2,0,0,0,0,0,1,0,0,0,14,0,0,1,1,13,1,0,0,0,0,2,12,14,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.Letterform,Letterform,Enum Type,2,0,0,0,0,0,1,0,0,0,18,0,0,1,1,17,1,0,0,0,0,2,16,18,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.MidLine,MidLine,Enum Type,2,0,0,0,0,0,1,0,0,0,16,0,0,1,1,15,1,0,0,0,0,2,14,16,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.Proportion,Proportion,Enum Type,2,0,0,0,0,0,1,0,0,0,12,0,0,1,1,11,1,0,0,0,0,2,10,12,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.SerifType,SerifType,Enum Type,2,0,0,0,0,0,1,0,0,0,18,0,0,1,1,17,1,0,0,0,0,2,16,18,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.StrokeVariation,StrokeVariation,Enum Type,2,0,0,0,0,0,1,0,0,0,11,0,0,1,1,10,1,0,0,0,0,2,9,11,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hemf.record.emf.HemfFont.LogFontPanose.XHeight,XHeight,Enum Type,2,0,0,0,0,0,1,0,0,0,10,0,0,1,1,9,1,0,0,0,0,2,8,10,0,1,0,2,,,0,0,2,0,1,0,No
poi,org.apache.poi.hwmf.record.HwmfFont,HwmfFont,Public Class,22,0,6,0,1,6,3,78,0,0,248,185,0.75,20,20,108,77,0,1,114,101,22,16,511,4,1,2,22,88,84,0,2,20,120,166,27,Yes
poi,org.apache.poi.hwmf.record.HwmfFont.WmfOutPrecision,WmfOutPrecision,Public Enum Type,4,0,3,0,1,3,1,3,1,0,24,40,1.67,1,1,14,5,1,0,5,5,3,11,67,3,1,2,4,,,0,0,3,5,10,4,No
poi,org.apache.poi.hwmf.record.HwmfFont.WmfClipPrecision,WmfClipPrecision,Public Static Class,10,0,4,0,1,4,2,21,0,9,57,21,0.37,9,9,31,21,0,0,28,18,10,1,99,1,1,0,10,20,10,0,0,10,21,32,11,No
poi,org.apache.poi.hwmf.record.HwmfFont.WmfFontQuality,WmfFontQuality,Public Enum Type,4,0,3,0,1,3,1,7,1,0,20,29,1.45,1,1,10,5,1,0,5,5,3,7,56,3,1,2,4,,,0,0,3,5,10,4,No
poi,org.apache.poi.hemf.record.emf.HemfHeader,HemfHeader,Public Class,19,1,6,0,1,7,2,32,0,0,135,8,0.06,19,19,50,44,0,0,76,74,19,15,175,6,1,1,19,89,84,0,0,19,81,106,24,Yes
poi,org.apache.poi.hemf.record.emf.HemfMisc,HemfMisc,Public Class,0,0,0,0,0,0,1,173,0,0,568,155,0.27,1,1,253,174,0,0,235,205,0,0,896,0,1,0,0,0,0,0,0,0,217,342,0,Yes
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfCreateBrushIndirect,EmfCreateBrushIndirect,Public Static Class,16,0,5,0,1,5,2,8,0,0,38,7,0.18,13,13,16,10,0,0,15,12,7,1,53,1,2,0,7,57,43,0,0,7,13,21,7,No
poi,org.apache.poi.hemf.record.emf.HemfMisc.EmfCreateDibPatternBrushPt,EmfCreateDibPatternBrushPt,Public Static Class,15,2,6,2,1,9,2,15,0,0,40,13,0.33,13,13,19,14,0,0,20,16,6,1,68,1,2,0,6,50,33,0,0,6,18,25,6,No
