Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.struts2.util.tomcat.buf.StringCache.CharEntry,CharEntry,Private Static Class,3.0,0.0,5.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,19.0,0.0,0.0,2.0,2.0,9.0,6.0,0.0,0.0,7.0,5.0,3.0,2.0,22.0,2.0,1.0,1.0,3.0,50.0,50.0,0.0,0.0,3.0,6.0,11.0,4.0,Yes
org.apache.struts2.util.tomcat.buf.UDecoder,UDecoder,Public Final Class,13.0,2.0,18.0,5.0,5.0,25.0,1.0,57.0,8.0,5.0,260.0,82.0,0.32,13.0,13.0,69.0,61.0,0.0,0.0,178.0,147.0,5.0,0.0,396.0,11.0,1.0,3.0,13.0,0.0,0.0,4.0,0.0,9.0,122.0,185.0,67.0,Yes
org.apache.struts2.util.tomcat.buf.UDecoder.DecodeException,DecodeException,Private Static Class,2.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,10.0,1.0,0.1,3.0,3.0,5.0,4.0,0.0,0.0,3.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,2.0,Yes
org.apache.struts2.util.URLBean,URLBean,Public Class,6.0,1.0,6.0,0.0,2.0,7.0,1.0,13.0,0.0,0.0,42.0,7.0,0.17,8.0,8.0,13.0,13.0,0.0,0.0,19.0,18.0,6.0,5.0,62.0,3.0,1.0,1.0,6.0,67.0,50.0,0.0,0.0,6.0,19.0,30.0,10.0,No
org.apache.struts2.views.util.DefaultUrlHelper,DefaultUrlHelper,Public Class,16.0,1.0,13.0,2.0,4.0,17.0,2.0,42.0,0.0,3.0,221.0,41.0,0.19,22.0,22.0,54.0,51.0,0.0,0.0,146.0,124.0,16.0,3.0,302.0,20.0,1.0,7.0,16.0,83.0,54.0,2.0,1.0,13.0,100.0,155.0,63.0,Yes
org.apache.struts2.views.DefaultTagLibrary,DefaultTagLibrary,Public Class,2.0,1.0,4.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0,9.0,3.0,0.33,4.0,4.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,16.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.StrutsModels,StrutsModels,Public Class,45.0,1.0,6.0,0.0,2.0,7.0,1.0,85.0,0.0,0.0,317.0,4.0,0.01,46.0,46.0,92.0,92.0,0.0,0.0,135.0,135.0,45.0,46.0,406.0,2.0,1.0,1.0,45.0,91.0,91.0,0.0,0.0,45.0,137.0,227.0,89.0,Yes
org.apache.struts2.views.JspSupportServlet,JspSupportServlet,Public Class,1.0,1.0,4.0,0.0,1.0,5.0,1.0,4.0,0.0,2.0,8.0,2.0,0.25,2.0,2.0,4.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,14.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,No
org.apache.struts2.views.freemarker.FreemarkerThemeTemplateLoader,FreemarkerThemeTemplateLoader,Public Class,8.0,0.0,6.0,1.0,2.0,8.0,2.0,12.0,0.0,0.0,56.0,15.0,0.27,8.0,8.0,23.0,20.0,0.0,0.0,28.0,24.0,8.0,3.0,83.0,7.0,1.0,2.0,8.0,58.0,58.0,0.0,0.0,8.0,22.0,37.0,14.0,No
org.apache.struts2.views.freemarker.StrutsBeanWrapper,StrutsBeanWrapper,Public Class,2.0,1.0,5.0,1.0,2.0,6.0,1.0,8.0,0.0,0.0,32.0,22.0,0.69,5.0,5.0,11.0,11.0,0.0,0.0,12.0,11.0,2.0,1.0,62.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,21.0,3.0,No
org.apache.struts2.views.freemarker.StrutsClassTemplateLoader,StrutsClassTemplateLoader,Public Class,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,5.0,2.0,0.4,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,No
org.apache.struts2.views.freemarker.StrutsBeanWrapper.FriendlyMapModel,FriendlyMapModel,Private Static Final Class,4.0,0.0,3.0,0.0,1.0,3.0,2.0,4.0,0.0,1.0,19.0,5.0,0.26,7.0,7.0,7.0,7.0,0.0,0.0,7.0,6.0,4.0,0.0,28.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,6.0,12.0,4.0,No
org.apache.struts2.views.freemarker.StrutsBeanWrapper.FriendlyMapModel.(Anon_1),(Anon_1),Anonymous Class,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,No
org.apache.struts2.views.freemarker.tags.ActionErrorModel,ActionErrorModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.TagModel,TagModel,Public Abstract Class,7.0,1.0,12.0,0.0,3.0,13.0,2.0,12.0,0.0,1.0,81.0,2.0,0.02,21.0,21.0,26.0,28.0,0.0,45.0,50.0,48.0,7.0,3.0,95.0,8.0,1.0,5.0,7.0,78.0,78.0,0.0,5.0,2.0,42.0,59.0,19.0,Yes
org.apache.struts2.views.freemarker.tags.ActionMessageModel,ActionMessageModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ActionModel,ActionModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.AnchorModel,AnchorModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.BeanModel,BeanModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.CallbackWriter,CallbackWriter,Public Class,8.0,1.0,6.0,0.0,2.0,7.0,2.0,12.0,0.0,0.0,54.0,2.0,0.04,5.0,5.0,15.0,15.0,0.0,0.0,27.0,23.0,8.0,4.0,68.0,3.0,2.0,1.0,8.0,47.0,47.0,0.0,0.0,8.0,21.0,36.0,15.0,No
org.apache.struts2.views.freemarker.tags.CheckboxListModel,CheckboxListModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.CheckboxModel,CheckboxModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ComboBoxModel,ComboBoxModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ComponentModel,ComponentModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.DateModel,DateModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,8.0,4.0,0.5,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.DoubleSelectModel,DoubleSelectModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ElseIfModel,ElseIfModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ElseModel,ElseModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,8.0,4.0,0.5,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,15.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.FieldErrorModel,FieldErrorModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.FileModel,FileModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.FormModel,FormModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.HeadModel,HeadModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.HiddenModel,HiddenModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.I18nModel,I18nModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.IfModel,IfModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.IncludeModel,IncludeModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.InputTransferSelectModel,InputTransferSelectModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.IteratorModel,IteratorModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.LabelModel,LabelModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.LinkModel,LinkModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.OptGroupModel,OptGroupModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,4.0,0.5,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,13.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.OptionTransferSelectModel,OptionTransferSelectModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,14.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ParamModel,ParamModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.PasswordModel,PasswordModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.PropertyModel,PropertyModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.PushModel,PushModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.RadioModel,RadioModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ResetModel,ResetModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.ScriptModel,ScriptModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.SelectModel,SelectModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.SetModel,SetModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.SubmitModel,SubmitModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.TextModel,TextModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
org.apache.struts2.views.freemarker.tags.TextAreaModel,TextAreaModel,Public Class,9.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,8.0,3.0,0.38,5.0,5.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,12.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,No
