Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.jfree.chart.axis.TickType,TickType,Public Final Class,4.0,0.0,8.0,6.0,2.0,14.0,2.0,9.0,0.0,2.0,36.0,31.0,0.86,3.0,3.0,12.0,10.0,0.0,0.0,18.0,16.0,4.0,1.0,76.0,4.0,1.0,1.0,4.0,25.0,0.0,2.0,0.0,2.0,14.0,24.0,9.0,No
org.jfree.chart.axis.DateTick,DateTick,Public Class,18.0,0.0,7.0,8.0,2.0,14.0,1.0,7.0,0.0,0.0,37.0,42.0,1.14,7.0,7.0,14.0,8.0,0.0,0.0,15.0,13.0,5.0,1.0,86.0,4.0,3.0,1.0,5.0,20.0,0.0,0.0,0.0,5.0,12.0,21.0,8.0,No
org.jfree.chart.axis.ExtendedCategoryAxis,ExtendedCategoryAxis,Public Class,142.0,0.0,7.0,7.0,2.0,15.0,1.0,16.0,0.0,1.0,88.0,89.0,1.01,22.0,22.0,28.0,22.0,0.0,0.0,47.0,42.0,11.0,3.0,193.0,6.0,3.0,3.0,11.0,48.0,48.0,2.0,1.0,8.0,38.0,59.0,20.0,No
org.jfree.chart.text.TextFragment,TextFragment,Public Class,15.0,0.0,7.0,7.0,2.0,14.0,2.0,23.0,0.0,3.0,117.0,115.0,0.98,18.0,18.0,36.0,31.0,0.0,0.0,62.0,57.0,15.0,4.0,255.0,7.0,1.0,2.0,15.0,62.0,42.0,2.0,0.0,13.0,53.0,82.0,31.0,No
org.jfree.chart.text.TextLine,TextLine,Public Class,13.0,0.0,8.0,6.0,2.0,15.0,2.0,18.0,0.0,1.0,111.0,87.0,0.78,12.0,12.0,39.0,36.0,0.0,0.0,66.0,54.0,13.0,1.0,216.0,4.0,1.0,1.0,13.0,8.0,0.0,1.0,0.0,12.0,51.0,78.0,27.0,No
org.jfree.chart.axis.LogarithmicAxis,LogarithmicAxis,Public Class,215.0,1.0,19.0,14.0,4.0,33.0,1.0,79.0,0.0,3.0,550.0,418.0,0.76,17.0,17.0,117.0,105.0,0.0,1.0,355.0,261.0,28.0,7.0,981.0,27.0,4.0,9.0,28.0,85.0,79.0,0.0,9.0,19.0,231.0,332.0,114.0,No
org.jfree.chart.axis.LogAxis,LogAxis,Public Class,189.0,1.0,13.0,9.0,2.0,23.0,1.0,70.0,0.0,0.0,540.0,368.0,0.68,32.0,32.0,216.0,179.0,0.0,0.0,366.0,292.0,40.0,7.0,975.0,8.0,3.0,3.0,40.0,86.0,61.0,1.0,9.0,30.0,279.0,377.0,97.0,No
org.jfree.chart.axis.NumberTickUnitSource,NumberTickUnitSource,Public Class,12.0,0.0,12.0,1.0,3.0,13.0,3.0,22.0,0.0,0.0,152.0,22.0,0.14,8.0,8.0,30.0,26.0,0.0,0.0,94.0,88.0,12.0,10.0,196.0,7.0,1.0,2.0,12.0,78.0,48.0,5.0,0.0,7.0,67.0,107.0,39.0,No
org.jfree.chart.axis.LogTick,LogTick,Public Class,15.0,0.0,4.0,8.0,1.0,12.0,1.0,3.0,0.0,0.0,11.0,19.0,1.73,3.0,3.0,5.0,4.0,0.0,0.0,3.0,3.0,2.0,1.0,33.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,2.0,No
org.jfree.chart.axis.MarkerAxisBand,MarkerAxisBand,Public Class,7.0,1.0,16.0,7.0,3.0,25.0,2.0,23.0,0.0,1.0,124.0,63.0,0.51,22.0,22.0,47.0,33.0,0.0,0.0,83.0,58.0,7.0,7.0,210.0,9.0,1.0,1.0,7.0,43.0,39.0,1.0,0.0,6.0,58.0,77.0,18.0,No
org.jfree.chart.plot.IntervalMarker,IntervalMarker,Public Class,48.0,0.0,6.0,7.0,2.0,13.0,3.0,18.0,0.0,1.0,73.0,80.0,1.1,10.0,10.0,23.0,17.0,0.0,0.0,34.0,30.0,11.0,3.0,171.0,7.0,2.0,1.0,11.0,64.0,45.0,0.0,0.0,11.0,29.0,47.0,17.0,No
org.jfree.chart.plot.Marker,Marker,Public Abstract Class,37.0,0.0,6.0,7.0,2.0,14.0,3.0,59.0,0.0,1.0,238.0,300.0,1.26,25.0,25.0,59.0,56.0,0.0,3.0,126.0,121.0,37.0,14.0,597.0,16.0,1.0,2.0,37.0,87.0,80.0,2.0,3.0,32.0,119.0,176.0,56.0,No
org.jfree.chart.axis.ModuloAxis,ModuloAxis,Public Class,204.0,0.0,12.0,8.0,2.0,20.0,1.0,27.0,0.0,0.0,213.0,152.0,0.71,6.0,6.0,53.0,39.0,0.0,0.0,124.0,84.0,17.0,3.0,388.0,6.0,4.0,2.0,17.0,39.0,24.0,6.0,1.0,10.0,76.0,117.0,40.0,No
org.jfree.chart.axis.MonthDateFormat,MonthDateFormat,Public Class,10.0,0.0,8.0,9.0,2.0,17.0,1.0,14.0,0.0,0.0,84.0,97.0,1.15,15.0,15.0,24.0,19.0,0.0,0.0,43.0,39.0,10.0,3.0,195.0,7.0,2.0,2.0,10.0,70.0,70.0,0.0,0.0,10.0,35.0,55.0,19.0,No
org.jfree.data.RangeType,RangeType,Public Final Class,5.0,0.0,7.0,6.0,2.0,14.0,2.0,12.0,0.0,4.0,46.0,39.0,0.85,3.0,3.0,17.0,12.0,0.0,0.0,22.0,20.0,5.0,1.0,97.0,4.0,1.0,1.0,5.0,20.0,0.0,2.0,0.0,3.0,17.0,29.0,11.0,No
org.jfree.chart.axis.PeriodAxis,PeriodAxis,Public Class,195.0,0.0,13.0,8.0,3.0,21.0,4.0,84.0,0.0,1.0,631.0,392.0,0.62,48.0,48.0,193.0,147.0,0.0,0.0,412.0,333.0,46.0,14.0,1106.0,19.0,3.0,4.0,46.0,86.0,78.0,3.0,5.0,38.0,298.0,417.0,117.0,No
org.jfree.data.time.Day,Day,Public Class,43.0,0.0,7.0,8.0,1.0,15.0,2.0,37.0,1.0,5.0,176.0,208.0,1.18,11.0,11.0,68.0,52.0,0.0,0.0,90.0,82.0,23.0,3.0,421.0,4.0,2.0,2.0,24.0,72.0,43.0,1.0,0.0,23.0,82.0,116.0,33.0,No
org.jfree.chart.axis.PeriodAxisLabelInfo,PeriodAxisLabelInfo,Public Class,16.0,0.0,8.0,7.0,2.0,14.0,3.0,31.0,0.0,6.0,139.0,127.0,0.91,22.0,22.0,46.0,36.0,0.0,0.0,76.0,65.0,16.0,8.0,297.0,11.0,1.0,2.0,16.0,74.0,68.0,2.0,0.0,14.0,68.0,96.0,27.0,No
org.jfree.chart.axis.QuarterDateFormat,QuarterDateFormat,Public Class,7.0,0.0,8.0,7.0,2.0,15.0,3.0,16.0,0.0,4.0,69.0,59.0,0.86,12.0,12.0,27.0,18.0,0.0,0.0,40.0,29.0,7.0,2.0,144.0,5.0,2.0,1.0,7.0,57.0,14.0,0.0,0.0,7.0,32.0,45.0,12.0,No
org.jfree.chart.axis.StandardTickUnitSource,StandardTickUnitSource,Public Class,6.0,0.0,6.0,6.0,1.0,12.0,3.0,8.0,0.0,1.0,36.0,45.0,1.25,4.0,4.0,18.0,13.0,0.0,0.0,16.0,14.0,6.0,0.0,89.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,13.0,21.0,7.0,No
org.jfree.chart.axis.SubCategoryAxis,SubCategoryAxis,Public Class,145.0,1.0,15.0,9.0,3.0,25.0,3.0,31.0,0.0,1.0,216.0,130.0,0.6,30.0,30.0,59.0,49.0,0.0,0.0,144.0,114.0,14.0,3.0,376.0,13.0,3.0,3.0,14.0,62.0,50.0,3.0,1.0,10.0,108.0,149.0,40.0,No
