Project,Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
Drill,org.apache.drill.exec.expr.fn.impl.conv.RoundFunctions.RoundUInt4,RoundUInt4,Public Static Class,2,0,3,0,1,3,2,3,0,0,10,0,0,4,4,6,5,0,0,1,1,2,2,13,1,1,0,2,50,50,0,0,2,3,6,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.RoundFunctions.RoundUInt8,RoundUInt8,Public Static Class,2,0,3,0,1,3,2,3,0,0,10,0,0,4,4,6,5,0,0,1,1,2,2,13,1,1,0,2,50,50,0,0,2,3,6,2,No
Drill,org.apache.drill.exec.expr.holders.SmallIntHolder,SmallIntHolder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.holders.TinyIntHolder,TinyIntHolder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.holders.UInt1Holder,UInt1Holder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.holders.UInt2Holder,UInt2Holder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.holders.UInt4Holder,UInt4Holder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.holders.UInt8Holder,UInt8Holder,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.SmallIntBEConvertFrom,SmallIntBEConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,13,17,1.31,7,7,8,5,0,0,3,3,2,2,35,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.SmallIntBEConvertTo,SmallIntBEConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,40,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.SmallIntConvertFrom,SmallIntConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,13,17,1.31,7,7,8,5,0,0,3,3,2,2,35,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.SmallIntConvertTo,SmallIntConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,40,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeEpochBEConvertFrom,TimeEpochBEConvertFrom,Public Class,2,1,5,0,1,5,2,4,0,0,14,17,1.21,7,7,9,6,0,0,4,4,2,2,35,1,1,0,2,50,50,0,0,2,6,9,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeEpochBEConvertTo,TimeEpochBEConvertTo,Public Class,2,0,6,0,1,6,2,4,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,39,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeEpochConvertFrom,TimeEpochConvertFrom,Public Class,2,1,5,0,1,5,2,5,0,0,14,17,1.21,7,7,9,6,0,0,4,4,2,2,36,1,1,0,2,50,50,0,0,2,6,9,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeEpochConvertTo,TimeEpochConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,40,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeStampEpochBEConvertFrom,TimeStampEpochBEConvertFrom,Public Class,2,1,4,0,1,5,2,4,0,0,13,17,1.31,7,7,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeStampEpochBEConvertTo,TimeStampEpochBEConvertTo,Public Class,2,0,6,0,1,6,2,4,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,39,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeStampEpochConvertFrom,TimeStampEpochConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,13,17,1.31,7,7,8,5,0,0,3,3,2,2,35,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TimeStampEpochConvertTo,TimeStampEpochConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,17,17,1,8,8,9,6,0,0,6,6,2,3,39,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TinyIntConvertFrom,TinyIntConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,14,17,1.21,7,7,9,5,0,0,3,3,2,2,36,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.TinyIntConvertTo,TinyIntConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,19,17,0.89,8,8,10,6,0,0,6,6,2,3,41,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt4BEConvertFrom,UInt4BEConvertFrom,Public Class,2,1,4,0,1,5,2,4,0,0,12,17,1.42,7,7,8,5,0,0,3,3,2,2,33,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt4BEConvertTo,UInt4BEConvertTo,Public Class,2,0,6,0,1,6,2,4,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,39,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt4ConvertFrom,UInt4ConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,12,17,1.42,7,7,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt4ConvertTo,UInt4ConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,17,17,1,8,8,9,6,0,0,6,6,2,3,39,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt8ConvertFrom,UInt8ConvertFrom,Public Class,2,1,4,0,1,5,2,5,0,0,13,17,1.31,7,7,8,5,0,0,3,3,2,2,35,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UInt8ConvertTo,UInt8ConvertTo,Public Class,2,0,6,0,1,6,2,5,0,0,18,17,0.94,8,8,9,6,0,0,6,6,2,3,40,1,1,0,2,33,33,0,0,2,9,12,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UTF16ConvertFrom,UTF16ConvertFrom,Public Class,2,0,4,0,1,4,2,4,0,0,13,17,1.31,6,6,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UTF16ConvertTo,UTF16ConvertTo,Public Class,2,0,4,0,1,4,2,4,0,0,13,17,1.31,6,6,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UTF8ConvertFrom,UTF8ConvertFrom,Public Class,2,0,4,0,1,4,2,4,0,0,13,17,1.31,6,6,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.apache.drill.exec.expr.fn.impl.conv.UTF8ConvertTo,UTF8ConvertTo,Public Class,2,0,4,0,1,4,2,4,0,0,13,17,1.31,6,6,8,5,0,0,3,3,2,2,34,1,1,0,2,50,50,0,0,2,5,8,2,No
Drill,org.joda.time.DateMidnight,DateMidnight,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,No
Drill,org.joda.time.format.DateTimeFormatter,DateTimeFormatter,Unknown Class,6,0,6,0,1,6,1,5,0,0,30,17,0.17,8,8,11,9,0,0,13,11,3,1,49,2,1,1,3,0,0,0,0,2,11,18,5,Yes
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions,DateTypeFunctions,Public Class,1,0,4,0,1,4,1,87,1,0,389,49,0.13,6,6,232,189,0,0,109,71,0,0,524,1,1,0,1,0,0,0,0,1,166,242,1,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.AgeDate2Function,AgeDate2Function,Public Static Class,2,0,7,0,1,7,2,2,0,0,21,0,0,13,13,14,12,0,0,9,7,2,4,23,1,1,0,2,38,38,0,0,2,13,16,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.AgeDateFunction,AgeDateFunction,Public Static Class,2,0,5,0,1,5,2,2,0,0,16,0,0,7,7,10,8,0,0,5,3,2,3,18,1,1,0,2,50,50,0,0,2,8,11,2,No
Drill,org.apache.drill.exec.expr.fn.impl.DateTypeFunctions.AgeTimeStamp2Function,AgeTimeStamp2Function,Public Static Class,2,0,7,0,1,7,2,2,0,0,21,0,0,13,13,14,12,0,0,9,7,2,4,23,1,1,0,2,38,38,0,0,2,13,16,2,No
