Full Path,Class Name,Kind,All Methods,Average Blank Lines,Average Code Lines,Average Comment Lines,Average Cyclomatic Complexity,Average Lines,Base Classes,Blank Lines,Class Methods,Class Variables,Code Lines,Comment Lines,Comment to Code Ratio,Coupled Classes,Coupled Classes Modified,Declarative Code Lines,Declarative Statements,Default Methods,Derived Classes,Executable Code Lines,Executable Statements,Instance Methods,Instance Variables,Lines,Max Cyclomatic Complexity,Max Inheritance Tree,Max Nesting,Methods,Percent Lack of Cohesion,Percent Lack of Cohesion Modified,Private Methods,Protected Methods,Public Methods,Semicolons,Statements,Sum Cyclomatic Complexity,Code Smell
org.apache.karaf.instance.command.StatusCommand,StatusCommand,Public Class,9.0,0.0,5.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,8.0,8.0,8.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,15.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,6.0,1.0,No
org.apache.karaf.instance.command.StopCommand,StopCommand,Public Class,9.0,0.0,13.0,0.0,3.0,13.0,1.0,3.0,0.0,0.0,20.0,0.0,0.0,10.0,10.0,9.0,5.0,0.0,0.0,9.0,7.0,1.0,1.0,23.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,11.0,3.0,No
org.apache.karaf.instance.core.internal.InstanceImpl,InstanceImpl,Public Class,23.0,0.0,3.0,0.0,1.0,3.0,2.0,24.0,0.0,0.0,74.0,0.0,0.0,3.0,3.0,26.0,26.0,1.0,0.0,24.0,24.0,23.0,2.0,98.0,1.0,1.0,0.0,23.0,4.0,4.0,0.0,0.0,22.0,26.0,50.0,23.0,No
org.apache.karaf.instance.core.internal.InstanceServiceImpl,InstanceServiceImpl,Public Class,68.0,0.0,15.0,1.0,2.0,16.0,2.0,121.0,8.0,13.0,1115.0,42.0,0.04,54.0,54.0,299.0,264.0,17.0,0.0,813.0,622.0,60.0,3.0,1278.0,9.0,1.0,4.0,68.0,97.0,81.0,34.0,2.0,15.0,523.0,750.0,232.0,No
org.apache.karaf.instance.core.internal.InstanceServiceImpl.InstanceState,InstanceState,Static Class,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,No
org.apache.karaf.instance.core.internal.InstanceServiceImpl.ProfileApplier,ProfileApplier,Private Static Class,2.0,2.0,14.0,0.0,2.0,15.0,1.0,7.0,2.0,0.0,29.0,1.0,0.03,20.0,20.0,13.0,13.0,2.0,0.0,21.0,18.0,0.0,0.0,37.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,5.0,No
org.apache.karaf.instance.core.internal.InstanceServiceImpl.State,State,Static Class,1.0,0.0,13.0,1.0,2.0,14.0,1.0,2.0,0.0,0.0,19.0,1.0,0.05,5.0,5.0,8.0,8.0,0.0,0.0,13.0,9.0,1.0,4.0,22.0,2.0,1.0,1.0,1.0,25.0,25.0,0.0,0.0,1.0,12.0,15.0,2.0,No
org.apache.karaf.instance.main.Execute,Execute,Public Class,4.0,2.0,19.0,0.0,4.0,21.0,1.0,16.0,4.0,6.0,106.0,10.0,0.09,29.0,29.0,25.0,25.0,1.0,0.0,79.0,55.0,0.0,0.0,131.0,11.0,1.0,3.0,4.0,88.0,75.0,2.0,0.0,1.0,46.0,68.0,17.0,No
org.apache.karaf.jpm.impl.ProcessBuilderFactoryImpl,ProcessBuilderFactoryImpl,Public Class,1.0,0.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,No
org.apache.karaf.jpm.impl.ScriptUtils,ScriptUtils,Public Class,8.0,0.0,10.0,0.0,2.0,11.0,1.0,11.0,8.0,1.0,89.0,2.0,0.02,16.0,16.0,22.0,22.0,0.0,0.0,56.0,42.0,0.0,0.0,101.0,3.0,1.0,3.0,8.0,0.0,0.0,3.0,0.0,5.0,34.0,56.0,18.0,No
org.apache.karaf.util.locks.FileLockUtils,FileLockUtils,Public Final Class,7.0,0.0,8.0,0.0,1.0,8.0,1.0,10.0,6.0,0.0,61.0,0.0,0.0,9.0,9.0,20.0,20.0,0.0,0.0,34.0,30.0,1.0,0.0,71.0,1.0,1.0,2.0,7.0,0.0,0.0,3.0,0.0,4.0,26.0,42.0,11.0,No
org.apache.karaf.profile.ProfileBuilder.Factory,Factory,Final Class,4.0,0.0,3.0,0.0,1.0,3.0,1.0,4.0,3.0,0.0,13.0,1.0,0.08,4.0,4.0,5.0,5.0,0.0,0.0,3.0,3.0,1.0,0.0,18.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,4.0,No
org.apache.karaf.instance.core.internal.InstancesMBeanImpl,InstancesMBeanImpl,Public Class,19.0,0.0,10.0,0.0,3.0,10.0,2.0,25.0,0.0,2.0,188.0,0.0,0.0,13.0,13.0,44.0,35.0,0.0,0.0,109.0,88.0,19.0,1.0,213.0,9.0,2.0,4.0,19.0,63.0,5.0,2.0,0.0,17.0,63.0,113.0,49.0,No
